ID;ImageName;CorrectSentence;WrongSentence
1;Window;I open the window to get fresh air;I open the window to get hot water
2;Tree;The green leaves fall from the tree in autumn;The green leaves fall from the sky in autumn
3;Moon;The bright moon shines in the night sky;The bright moon shines in the morning sun
4;River;The cold water flows down the river;The cold water climbs up the river
5;Mountain;We climbed to the top of the high mountain;We swam to the bottom of the high mountain
6;Shoes;I wear comfortable shoes on my feet;I wear comfortable shoes on my hands
7;Jacket;He puts on his warm jacket because it is cold;He puts on his warm jacket because it is hot
8;Guitar;She plays the acoustic guitar with her fingers;She blows the acoustic guitar with her mouth
9;Clock;I look at the clock on the wall to check the time;I look at the clock on the floor to check the weather
10;Train;The fast train runs on the iron tracks;The fast train flies above the white clouds
11;Airplane;The passengers board the airplane at the airport;The passengers board the airplane at the bus stop
12;Scissors;I use sharp scissors to cut the colorful paper;I use sharp scissors to glue the colorful paper
13;Glasses;My grandfather wears glasses to read the newspaper;My grandfather wears glasses to hear the music
14;Umbrella;I open my umbrella to stay dry in the rain;I open my umbrella to get wet in the rain
15;Camera;He uses a digital camera to take beautiful photos;He uses a digital camera to paint beautiful portraits
16;Pillow;I lay my head on a soft pillow to sleep;I lay my feet on a hard pillow to run
17;Blanket;She covers herself with a thick blanket to stay warm;She covers herself with a thin blanket to freeze
18;Mirror;I look in the mirror to comb my hair;I look in the mirror to wash my hands
19;Key;You need a metal key to unlock the heavy door;You need a metal key to break the heavy window
20;Backpack;The student carries heavy books in his backpack;The student cooks delicious meals in his backpack
