ID;Sentence;TrapWords;TurkishHint
1;I want an apple;car,book,jump;Bir elma istiyorum
2;She is very fast;slow,tree,run;O çok hızlı
3;We play game together;sleep,car,red;Biz birlikte oyun oynarız
4;He likes hot coffee;cold,dog,swim;O sıcak kahve sever
5;They go to school;house,fly,blue;Onlar okula gider
6;The cat is sleeping;dog,run,water;Kedi uyuyor
7;I love reading books;car,jump,sky;Kitap okumayı seviyorum
8;My brother plays football;apple,sing,yellow;Erkek kardeşim futbol oynar
9;We live in a big city;fly,orange,sad;Büyük bir şehirde yaşıyoruz
10;She drinks cold water;hot,cat,walk;O soğuk su içer
11;The sun is shining today;moon,dark,sleep;Güneş bugün parlıyor
12;I have a red car;blue,run,tree;Kırmızı bir arabam var
13;They eat pizza for dinner;drink,shoe,morning;Akşam yemeğinde pizza yerler
14;He drives to work everyday;swim,house,purple;Her gün işe arabayla gider
15;The bird flies in the sky;fish,swim,ground;Kuş gökyüzünde uçar
16;My sister loves dancing;car,hot,sleep;Kız kardeşim dans etmeyi sever
17;The dog runs in the park;swim,blue,book;Köpek parkta koşar
18;I wake up early in the morning;late,dark,swim;Sabah erken kalkarım
19;They watch movies every weekend;read,cold,run;Her hafta sonu film izlerler
20;The children play in the garden;sleep,drive,loud;Çocuklar bahçede oynar
21;She speaks three languages;two,walk,happy;O üç dil konuşur
22;We eat lunch at noon;dinner,sleep,dark;Öğle yemeğini öğleyin yeriz
23;He works at a hospital;school,run,green;O bir hastanede çalışır
24;The flowers bloom in spring;winter,fly,heavy;Çiçekler ilkbaharda açar
25;I study English every day;dance,cold,night;Her gün İngilizce çalışırım
